project_id|council|country|data_type|category|amount_kwacha|raw_project_text|source
LTC-CDF-001|Lufwanyama Town Council|Zambia|CDF Project|Education|499595.0|1x2 classroom block at Kankomo in Mwelushi|LUFWANYAMA-NEWSLETTER-ISSUE-03
LTC-CDF-002|Lufwanyama Town Council|Zambia|CDF Project|Housing|446064.0|Semi-detached house at Kankomo|LUFWANYAMA-NEWSLETTER-ISSUE-03
LTC-CDF-003|Lufwanyama Town Council|Zambia|CDF Project|Water and Sanitation|540195.89|Milopa ablution block and water reticulation|LUFWANYAMA-NEWSLETTER-ISSUE-03
LTC-CDF-004|Lufwanyama Town Council|Zambia|CDF Project|Health|458914.0|Chantete maternity wing with running water|LUFWANYAMA-NEWSLETTER-ISSUE-03
LTC-CDF-005|Lufwanyama Town Council|Zambia|CDF Project|Education|689612.78|1x3 classroom block at Mibila Zone|LUFWANYAMA-NEWSLETTER-ISSUE-03
LTC-CDF-006|Lufwanyama Town Council|Zambia|CDF Project|Education|988404.7|1x3 classroom block at Nkana Combined School|LUFWANYAMA-NEWSLETTER-ISSUE-03
LTC-CDF-007|Lufwanyama Town Council|Zambia|CDF Project|Education|544700.98|1x2 classroom block at Kasalya Primary School|LUFWANYAMA-NEWSLETTER-ISSUE-03
LTC-CDF-008|Lufwanyama Town Council|Zambia|CDF Project|Health|595131.52|Health post and three VIP latrines at Chinemu|LUFWANYAMA-NEWSLETTER-SECOND-EDITION-2024-REDITED
LTC-CDF-009|Lufwanyama Town Council|Zambia|CDF Project|Water and Sanitation|254735.0|Commercial borehole at Chinemu|LUFWANYAMA-NEWSLETTER-SECOND-EDITION-2024-REDITED
LTC-CDF-010|Lufwanyama Town Council|Zambia|CDF Project|Housing|495346.98|Semi-detached staff house at Fumbwe Health Post|LUFWANYAMA-NEWSLETTER-SECOND-EDITION-2024-REDITED
LTC-CDF-011|Lufwanyama Town Council|Zambia|CDF Project|Water and Sanitation|416429.47|Ablution block and plastic tank at Mushingashi Market|LUFWANYAMA-NEWSLETTER-SECOND-EDITION-2024-REDITED
LTC-CDF-012|Lufwanyama Town Council|Zambia|CDF Project|Water and Sanitation|407000.0|Six hand pumps at Chibanga|LUFWANYAMA-NEWSLETTER-SECOND-EDITION-2024-REDITED
LTC-CDF-013|Lufwanyama Town Council|Zambia|CDF Project|Education|537000.0|1x2 classroom block at Chifupa Primary School, Mukumbo|LUFWANYAMA-NEWSLETTER-SECOND-EDITION-2024-REDITED
LTC-CDF-014|Lufwanyama Town Council|Zambia|CDF Project|Housing|523905.0|Semi-detached house at Mukutuma Health Post, Mitwe|LUFWANYAMA-NEWSLETTER-SECOND-EDITION-2024-REDITED
LTC-CDF-015|Lufwanyama Town Council|Zambia|CDF Project|Health|622726.58|Maternity wing with running water at Luswishi|LUFWANYAMA-NEWSLETTER-SECOND-EDITION-2024-REDITED
