council|year|revenue_source|revenue_type|amount_kwacha
Lufwanyama Town Council|2025|CDF|Government Grant|36058151
Lufwanyama Town Council|2025|LGEF|Government Grant|11152232
Lufwanyama Town Council|2025|Grant in Lieu of Rates|Government Grant|2000000
Lufwanyama Town Council|2025|Devolution|Government Grant|2460000
Lufwanyama Town Council|2025|Roads Grant|Government Grant|3200587
Lufwanyama Town Council|2025|Health Grant|Government Grant|4586260
Lufwanyama Town Council|2025|Cash for Work|Government Programme|21423827
Lufwanyama Town Council|2025|Community Development|Government Grant|5172
Lufwanyama Town Council|2025|Agriculture Services|Government Grant|573918
Lufwanyama Town Council|2025|Fisheries and Livestock|Government Grant|486160
Lufwanyama Town Council|2025|Other Grants|Government Grant|248273
Lufwanyama Town Council|2025|Local Taxes|Local Revenue|16073389
Lufwanyama Town Council|2025|Fees and Charges|Local Revenue|5178270
Lufwanyama Town Council|2025|Levies|Local Revenue|714626
Lufwanyama Town Council|2025|Permits|Local Revenue|620000
Lufwanyama Town Council|2025|Licences|Local Revenue|378551
Lufwanyama Town Council|2025|Other Income|Local Revenue|268500
